TaskQLat.      PRRQLat.       TaksQlen       
4e-06          1e-06          1              
1.5e-05        0              1              
0.000178       0              1              
0.000222       0              2              
0.000204       0              1              
7.6e-05        0              2              
0.20785        0              8              
0.188201       0              15             
0.004358       1e-06          62             
0.175423       0              29             
0.159796       0              37             
1e-06          0              1              
0.167526       0              34             
0.175679       0              28             
0.175679       0              27             
0.119809       0              54             
0.115738       0              56             
0.107874       0              59             
0.17813        0              24             
0.09992        0              63             
0.155605       0              39             
0.101302       0              61             
0.143682       0              45             
0.084013       0              66             
0.079875       0              67             
0.09222        0              65             
0.15163        0              41             
0.075994       0              68             
0.147653       0              43             
0.068271       0              69             
0.052036       0              71             
0.139708       0              47             
0.171729       1e-06          32             
0.040195       0              73             
0.024322       0              76             
0.060538       0              70             
0.131754       0              50             
0.028129       0              75             
0.032242       0              74             
0.04513        0              72             
0.179466       0              23             
0.184198       0              16             
0.215888       0              3              
0.171747       0              31             
0.147915       1e-06          42             
0.179622       0              22             
0.012239       0              61             
0.135991       0              48             
0.143939       0              44             
0.108128       0              58             
0.112115       0              57             
0.096202       0              64             
0.183627       0              20             
0.187615       0              19             
0.203945       0              10             
0.179634       0              21             
0.159829       0              36             
0.128039       0              51             
0.104151       0              60             
0.200146       0              11             
0.155865       0              38             
0.613704       0              18             
0.593777       0              23             
0.597762       0              22             
0.541963       0              37             
0.621681       0              16             
0.573847       0              28             
0.605736       0              20             
0.018534       0              77             
0.03847        0              72             
0.002617       0              83             
0.06239        0              66             
0.026507       0              75             
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
1e-06          0              1              
3e-06          0              1              
2e-06          0              1              
1e-06          0              1              
2e-06          0              1              
1e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
1e-06          0              1              
2e-06          0              1              
1.2e-05        0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
0.010577       0              80             
0.116087       0              55             
0.589791       0              24             
0.462239       0              56             
0.553903       0              34             
0.625661       0              15             
0.569859       0              29             
0.471058       0              54             
0.454245       0              57             
0.450299       0              58             
0.637554       0              10             
0.139965       0              46             
0.44628        0              59             
0.671848       0              1              
0.567793       0              30             
0.601746       0              21             
0.006604       0              82             
0.5579         0              33             
0.629655       0              14             
0.565744       0              31             
0.617692       0              17             
0.549868       0              35             
0.58182        0              26             
0.633583       0              12             
0.609723       0              19             
0.561874       0              32             
0.577835       0              27             
0.585779       0              25             
0.545947       0              36             
0.633608       0              11             
0.53798        0              38             
0.467402       0              55             
0.486155       0              50             
0.471425       0              53             
0.517996       0              44             
0.482163       0              51             
0.208094       0              7              
0.100176       1e-06          62             
0.665505       0              2              
0.498064       0              47             
0.171761       0              30             
0.196172       0              13             
0.493966       0              48             
0.167222       0              22             
0.226965       0              2              
0.533994       0              39             
0.490124       0              49             
0.478167       0              52             
0.19556        0              17             
0.058405       0              67             
0.530009       0              40             
0.518054       0              43             
0.231938       1e-06          1              
0.52204        0              42             
0.526028       0              41             
0.179182       0              19             
0.203095       0              13             
0.191141       0              16             
0.199117       0              14             
0.195129       0              15             
0.20708        0              11             
0.034476       0              73             
0.223027       0              7              
0.231003       0              5              
0.215049       0              9              
0.234989       0              4              
0.211065       0              10             
0.238976       0              3              
0.203092       0              12             
2e-06          1e-06          1              
0.183169       0              18             
0.187155       0              17             
0.504024       0              46             
2e-06          0              1              
0.657318       0              5              
0.204119       0              9              
0.010587       0              81             
0.131234       0              23             
0.430306       0              61             
0.191599       0              18             
0.653361       0              6              
0.12405        0              52             
0.16778        0              33             
0.120065       0              53             
0.199963       0              12             
0.046443       0              70             
0.219037       0              8              
0.509634       0              45             
0.227015       0              6              
0.649376       0              7              
0.054416       0              68             
0.01205        0              79             
0.042456       0              71             
0.247807       0              1              
0.192186       0              14             
0.629665       0              13             
0.661294       0              3              
0.13201        0              49             
0.030493       0              74             
0.175688       0              26             
0.212065       0              5              
0.151886       0              40             
0.175691       0              25             
0.066205       0              65             
0.171209       0              21             
2e-06          0              1              
0.050429       0              69             
0.645391       0              8              
0.661266       0              4              
0.211863       0              6              
0.641396       0              9              
0.215633       0              4              
0.578368       1e-06          35             
0.590328       0              32             
0.43429        0              60             
0.022519       0              76             
0.418338       0              62             
0.175194       0              20             
0.410344       0              64             
0.414342       0              63             
0.594309       0              31             
0.018538       0              78             
0.610262       0              27             
0.163825       0              35             
0.586341       0              33             
0.582355       0              34             
0.242962       0              2              
0.613054       0              24             
0.618233       0              25             
0.614248       0              26             
0.606276       0              28             
0.5983         0              30             
0.602289       0              29             
0.001947       0              2              
0.001943       0              3              
0.001932       0              4              
0.001551       0              6              
0.001351       0              8              
0.001364       0              9              
0.001353       0              10             
0.0013         1e-06          11             
0.000129       1e-06          6              
0.000117       0              7              
8e-05          0              5              
0.002029       0              1              
0.000124       0              5              
0.001527       0              7              
0.00157        0              5              
0.025694       0              1              
0.093856       0              2              
0.352251       0              22             
0.312831       0              56             
0.347221       0              31             
0.316744       0              50             
0.32068        0              45             
0.2456         0              115            
0.277222       0              88             
0.253511       0              107            
0.241732       0              123            
0.225919       0              136            
0.210119       0              154            
0.357288       0              10             
0.277224       0              89             
0.352271       0              18             
0.273308       1e-06          93             
0.308872       0              59             
0.202247       0              161            
0.214045       0              151            
0.210127       0              153            
0.324629       0              41             
0.320692       0              46             
0.348069       0              29             
0.19038        0              171            
0.210129       0              152            
0.174523       0              190            
0.170697       0              199            
0.155086       0              226            
0.174528       0              191            
0.158994       0              219            
0.205969       1e-06          159            
0.182504       0              181            
0.198306       0              165            
0.22183        0              142            
0.249572       0              111            
0.245576       0              117            
0.261462       0              103            
0.277136       0              91             
0.344488       0              34             
0.348179       0              28             
0.351833       0              23             
0.182492       0              179            
0.352269       0              17             
0.296967       0              70             
0.357449       0              6              
0.300929       0              65             
0.352268       0              20             
0.312823       0              57             
0.221884       0              141            
0.23384        0              130            
0.281176       0              85             
0.194347       0              167            
0.24171        0              124            
0.249563       0              110            
0.206185       0              156            
0.233828       0              129            
0.237776       0              125            
0.202244       0              160            
0.221926       0              140            
0.351506       0              25             
0.170694       0              198            
0.348379       0              27             
0.355284       0              13             
0.225907       0              137            
0.229874       0              135            
0.174591       0              186            
0.162872       0              212            
0.206173       1e-06          158            
0.186452       0              177            
0.214043       0              150            
0.194352       0              169            
0.198304       0              164            
0.190372       0              173            
0.229869       0              134            
0.214067       0              149            
0.186449       0              175            
0.289074       0              76             
0.316743       0              52             
0.237741       0              127            
0.316717       0              54             
0.249395       0              114            
0.218018       0              145            
0.214057       0              147            
0.170707       0              195            
0.304889       0              63             
0.214063       0              148            
0.158987       0              217            
0.32923        0              40             
