TotQLat.       ScalerLat      getDevLat      getPrgLat      Req.Type       
0.000331       0.000281       3.8e-05        0              0              
1.8e-05        0              0              1.3e-05        1              
4.4e-05        0              3.9e-05        0              0              
2.1e-05        0              1.9e-05        0              0              
3.4e-05        0              3.3e-05        0              0              
3e-06          0              0              1e-06          1              
2.5e-05        0              2.3e-05        0              0              
0.000171       0.000168       0              1e-06          1              
6.2e-05        5.6e-05        0              1e-06          1              
0.000115       8.5e-05        2.8e-05        0              0              
2.7e-05        1e-06          2.5e-05        0              0              
2.7e-05        0              2.4e-05        0              0              
2.5e-05        0              2.3e-05        0              0              
3e-05          1e-06          2.7e-05        0              0              
0.000145       0.000107       3.5e-05        0              0              
3.9e-05        1e-06          3.6e-05        0              0              
3.8e-05        0              3.6e-05        0              0              
3.7e-05        0              3.5e-05        0              0              
3.2e-05        0              3e-05          0              0              
0.000119       9.4e-05        2.3e-05        0              0              
2.6e-05        0              2.5e-05        0              0              
2.6e-05        0              2.4e-05        0              0              
3.3e-05        0              3.1e-05        0              0              
2.6e-05        0              2.4e-05        0              0              
0.000123       9.7e-05        2.5e-05        0              0              
0.003528       0              0.003526       0              0              
3e-05          0              2.9e-05        0              0              
1.9e-05        0              1.8e-05        0              0              
1.8e-05        0              1.7e-05        0              0              
0.00795        0.003901       0.004048       0              0              
0.000124       0              0.000121       0              0              
0.002549       0              0.002546       0              0              
0.005211       0              0.005208       0              0              
0.000128       0              0.000124       0              0              
0.000797       0.000692       0.000102       0              0              
0.000105       0              0.000102       0              0              
0.014853       0              0.01485        0              0              
0.000127       0              0.000124       0              0              
0.000126       0              0.000123       0              0              
0.000774       0.000669       0.000102       0              0              
0.000105       0              0.000102       0              0              
0.000104       0              0.000102       0              0              
0.000106       0              0.000102       0              0              
0.006475       0              0.006472       0              0              
0.000851       0.000746       0.000103       0              0              
0.000105       0              0.000102       0              0              
0.000105       0              0.000102       0              0              
0.006802       0              0.006798       0              0              
0.000133       0              0.000129       0              0              
0.000828       0.000724       0.000101       0              0              
0.000105       0              0.000102       0              0              
0.000105       0              0.000103       0              0              
0.000105       0              0.000102       0              0              
0.000105       0              0.000102       0              0              
0.00714        0.007035       0.000102       0              0              
0.000105       0              0.000102       0              0              
0.000104       0              0.000101       0              0              
0.006968       0              0.006965       0              0              
0.000126       0              0.000123       0              0              
0.00083        0.000725       0.000103       0              0              
0.000106       0              0.000103       0              0              
0.000105       0              0.000102       0              0              
0.000105       0              0.000102       0              0              
0.006559       0              0.006556       0              0              
0.037015       0.036771       0.000241       0              0              
0.00024        0              0.000237       0              0              
0.000317       1e-06          0.000314       0              0              
0.000235       0              0.000232       0              0              
0.000252       0              0.00025        0              0              
0.001587       0.00133        0.000255       0              0              
0.000335       0              0.000332       0              0              
0.000237       0              0.000234       0              0              
0.000233       0              0.00023        0              0              
0.01127        0              0.011267       0              0              
0.00937        0.00913        0.000236       0              0              
0.000232       0              0.000229       0              0              
0.00023        0              0.000227       0              0              
0.010205       1e-06          0.010202       0              0              
0.000258       0              0.000255       0              0              
0.008577       0.008342       0.000231       0              0              
0.000284       0              0.000281       0              0              
0.000237       0              0.000235       0              0              
0.000323       0              0.00032        0              0              
0.000236       0              0.000233       0              0              
0.001713       0.001466       0.000244       0              0              
0.000234       0              0.000231       0              0              
0.000328       0              0.000325       0              0              
0.000262       0              0.000259       0              0              
0.000251       0              0.000248       0              0              
0.023285       0.023113       0.000168       0              0              
0.000174       0              0.00017        0              0              
0.000165       0              0.000162       0              0              
0.000151       0              0.000148       0              0              
0.000153       0              0.00015        0              0              
0.001084       0.000931       0.00015        0              0              
0.000151       0              0.000148       0              0              
0.000154       0              0.000151       0              0              
0.000151       0              0.000148       0              0              
0.000165       1e-06          0.000162       0              0              
0.005885       0.005734       0.000149       0              0              
0.000151       0              0.000147       0              0              
0.006785       0              0.006782       0              0              
0.000173       0              0.00017        0              0              
0.000171       1e-06          0.000168       0              0              
0.007842       0.007671       0.000168       0              0              
0.000174       0              0.000171       0              0              
0.00017        0              0.000167       0              0              
0.000174       0              0.000171       0              0              
0.00017        0              0.000167       0              0              
0.001058       0.000906       0.000149       0              0              
0.000155       0              0.000152       0              0              
0.000172       0              0.000168       0              0              
0.013364       0              0.013361       0              0              
0.004          0              0.003997       0              0              
0.006207       0.003903       0.002301       0              0              
0.000161       0              0.000158       0              0              
0.000172       0              0.000169       0              0              
0.005337       0              0.005333       0              0              
0.004914       0              0.004911       0              0              
0.011681       0.011563       0.000115       0              0              
0.0001         0              9.7e-05        0              0              
9.9e-05        0              9.5e-05        0              0              
9.9e-05        0              9.6e-05        0              0              
9.8e-05        0              9.5e-05        0              0              
0.000721       0.000623       9.5e-05        0              0              
0.006009       0              0.006006       0              0              
0.000117       0              0.000114       0              0              
0.000118       0              0.000114       0              0              
0.003684       0              0.003681       0              0              
0.011969       0.008546       0.003419       0              0              
0.000117       0              0.000114       0              0              
0.000119       0              0.000116       0              0              
0.000117       0              0.000114       0              0              
0.007526       0              0.007523       0              0              
0.000857       0.000759       9.5e-05        0              0              
9.8e-05        0              9.5e-05        0              0              
0.000112       0              0.000109       0              0              
0.000111       0              0.000108       0              0              
9.8e-05        0              9.6e-05        0              0              
0.014555       0.010989       0.003563       0              0              
0.000118       0              0.000114       0              0              
0.003825       0              0.003822       0              0              
0.003969       0              0.003966       0              0              
0.000117       0              0.000114       0              0              
0.000854       0.000756       9.4e-05        0              0              
9.8e-05        0              9.5e-05        0              0              
9.8e-05        0              9.5e-05        0              0              
9.8e-05        0              9.4e-05        0              0              
9.7e-05        0              9.4e-05        0              0              
0.014523       0.014406       0.000114       0              0              
0.000117       0              0.000114       0              0              
0.000117       0              0.000114       0              0              
0.000117       0              0.000114       0              0              
0.000117       0              0.000114       0              0              
0.0073         0.003964       0.003333       0              0              
0.000117       0              0.000114       0              0              
0.003823       0              0.003821       0              0              
0.00397        0              0.003967       0              0              
0.000116       0              0.000114       0              0              
0.004516       0.004398       0.000115       0              0              
0.003287       0              0.003284       0              0              
0.000118       1e-06          0.000115       0              0              
0.000118       0              0.000115       0              0              
0.000117       0              0.000114       0              0              
0.000824       0.000726       9.5e-05        0              0              
9.8e-05        0              9.5e-05        0              0              
0.006531       1e-06          0.006528       0              0              
0.003973       0              0.00397        0              0              
0.000118       1e-06          0.000114       0              0              
0.004044       0.003927       0.000114       0              0              
0.003749       0              0.003746       0              0              
0.008758       0              0.008755       0              0              
0.00718        1e-06          0.007177       0              0              
0.003973       0              0.00397        0              0              
0.007973       0.004335       0.003636       0              0              
0.000114       0              0.000111       0              0              
8.3e-05        1e-06          8e-05          0              0              
0.003712       0              0.003709       0              0              
0.000117       0              0.000114       0              0              
0.008082       0.008004       7.4e-05        0              0              
