getDevice      getProgram     runProgram     
0.000584       0.822731       0.104538       
0.000173       7.7e-05        0.718896       
0.750371       0.043962       0.448031       
1.29078        0.052436       0.571623       
1.93013        0.027965       0.640687       
2.61797        5.2e-05        0.610971       
3.26983        0.02796        0.429539       
3.73489        0.039266       0.50443        
4.29148        3.7e-05        0.498592       
4.83061        0.003899       0.667319       
5.50867        0.031942       0.348934       
5.91205        0.027962       0.686618       
6.70004        0.003971       0.644245       
7.37605        0.045321       0.359069       
7.8121         0.039837       0.628416       
8.53605        0.047961       0.380048       
8.98803        0.05597        0.372044       
9.42917        0.049686       0.306273       
9.80482        5.6e-05        0.559811       
10.4           0.047961       0.568655       
11.0445        0.007488       0.564242       
11.6532        0.040203       0.324541       
12.0531        0.002792       0.324398       
12.408         3.7e-05        0.359973       
12.784         0.04797        0.552686       
13.412         3.7e-05        0.523958       
13.96          0.047962       0.518958       
14.5321        0.047914       0.544682       
15.1449        0.003101       0.348053       
15.54          0.039958       0.616434       
16.208         0.027978       0.57703        
16.84          0.003975       0.496675       
17.3601        0.027958       0.320423       
17.7281        0.01597        0.488682       
18.24          0.039979       0.43244        
18.744         3.2e-05        0.287984       
19.08          0.039964       0.304359       
19.4761        0.039956       0.460241       
19.996         0.041071       0.403573       
20.472         0.040017       0.288422       
20.808         0.031967       0.420438       
21.2881        0.033132       0.258875       
21.6125        0.048419       0.243375       
21.928         0.031966       0.296438       
22.2601        0.031965       0.288677       
22.5961        0.031957       0.412249       
23.064         0.031967       0.388437       
23.5091        0.027932       0.241906       
23.796         3.6e-05        0.391965       
24.2036        0.031965       0.256154       
24.5121        0.027986       0.372656       
24.9371        0.031287       0.283922       
25.264         3e-05          0.376438       
25.6407        0.027269       0.236354       
25.932         3.3e-05        0.248297       
26.2251        0.007893       0.195325       
26.4565        0.025019       0.141764       
26.628         0.048579       0.408073       
27.1001        0.000148       0.252243       
27.3653        0.001227       0.16981        
27.5561        3.5e-05        0.250897       
27.8121        0.005418       0.434773       
28.2652        0.031886       0.387952       
28.7081        0.004935       0.231554       
28.968         3.6e-05        0.288185       
29.2721        4e-05          0.192513       
29.4952        0.001117       0.163612       
29.7041        3.6e-05        0.180094       
29.8961        0.004028       0.272036       
30.224         0.007967       0.314619       
30.5725        0.000142       0.251675       
30.836         0.007397       0.281006       
31.1251        0.001487       0.217742       
31.34          3.3e-05        0.192302       
31.5325        0.008088       0.130435       
31.68          0.033108       0.135272       
31.8681        4.4e-05        0.207964       
32.096         3.6e-05        0.20416        
32.3041        0.001721       0.21686        
32.5371        0.000138       0.10409        
32.656         3.4e-05        0.124278       
32.78          3.7e-05        0.121893       
32.9039        0.000141       0.064441       
32.9808        3.4e-05        0.208598       
33.2052        0.015783       0.104028       
33.3291        0.000134       0.10467        
33.4183        9.7e-05        0.093444       
33.5121        0.000129       0.104396       
33.6179        0.000146       0.06437        
33.688         0.001105       0.193535       
33.8789        0.000139       0.064739       
33.9442        0.000137       0.064487       
34.0092        0.000135       0.104201       
34.1139        0.000137       0.063689       
34.1773        2.8e-05        0.103528       
34.3015        3.4e-05        0.10358        
34.3812        3.1e-05        0.063516       
34.4448        3.3e-05        0.063411       
34.5083        3.4e-05        0.063387       
34.5678        3.4e-05        0.063437       
34.63          4.3e-05        0.10338        
