TaskQLat.      PRRQLat.       TaskQLen       
0.000389       1.40725e+14    1              
1.5e-05        -1.54091e+09   1              
3.1e-05        -1.54091e+09   1              
3e-06          -1.54091e+09   1              
3e-06          -1.54091e+09   1              
7e-05          -1.54091e+09   1              
2e-06          -1.54091e+09   1              
5e-06          -1.54091e+09   1              
2e-06          -1.54091e+09   1              
1e-06          -1.54091e+09   1              
5.3e-05        -1.54091e+09   1              
2e-06          -1.54091e+09   1              
4.2e-05        -1.54091e+09   2              
8e-06          -1.54091e+09   1              
0.001257       -1.54091e+09   2              
0.004234       -1.54091e+09   3              
0.005444       -1.54091e+09   4              
0.006646       -1.54091e+09   4              
0.007851       -1.54091e+09   5              
0.009065       -1.54091e+09   6              
0.012025       -1.54091e+09   7              
0.010924       -1.54091e+09   7              
0.010455       -1.54091e+09   8              
0.011662       -1.54091e+09   9              
0.012874       -1.54091e+09   10             
0.014321       -1.54091e+09   11             
0.014511       -1.54091e+09   12             
0.014688       -1.54091e+09   13             
0.014878       -1.54091e+09   14             
0.015603       -1.54091e+09   15             
0.016385       -1.54091e+09   16             
0.012588       -1.54091e+09   13             
0.012765       -1.54091e+09   14             
0.012953       -1.54091e+09   15             
0.013144       -1.54091e+09   16             
0.014586       -1.54091e+09   17             
0.014762       -1.54091e+09   18             
0.014939       -1.54091e+09   19             
0.015111       -1.54091e+09   20             
0.015293       -1.54091e+09   21             
0.012746       -1.54091e+09   21             
0.012933       -1.54091e+09   22             
0.013108       -1.54091e+09   23             
0.013304       -1.54091e+09   24             
0.0135         -1.54091e+09   25             
0.0149         -1.54091e+09   26             
0.015077       -1.54091e+09   27             
0.015253       -1.54091e+09   28             
0.015449       -1.54091e+09   29             
0.015255       -1.54091e+09   29             
0.012435       -1.54091e+09   27             
0.013197       -1.54091e+09   28             
0.013386       -1.54091e+09   29             
0.013562       -1.54091e+09   30             
0.013756       -1.54091e+09   31             
0.014672       -1.54091e+09   32             
0.01486        -1.54091e+09   33             
0.015594       -1.54091e+09   34             
0.011778       -1.54091e+09   29             
0.011953       -1.54091e+09   30             
0.012792       -1.54091e+09   31             
0.012968       -1.54091e+09   32             
0.013163       -1.54091e+09   33             
0.013915       -1.54091e+09   34             
0.010153       -1.54091e+09   25             
0.010978       -1.54091e+09   26             
0.011153       -1.54091e+09   27             
0.011328       -1.54091e+09   28             
0.011504       -1.54091e+09   29             
0.012264       -1.54091e+09   30             
0.013053       -1.54091e+09   31             
0.009244       -1.54091e+09   22             
0.00943        -1.54091e+09   23             
0.009625       -1.54091e+09   24             
0.009821       -1.54091e+09   25             
0.011315       -1.54091e+09   26             
0.008908       -1.54091e+09   22             
0.007678       -1.54091e+09   18             
0.007853       -1.54091e+09   19             
0.008058       -1.54091e+09   20             
0.00946        -1.54091e+09   21             
0.009638       -1.54091e+09   22             
0.009813       -1.54091e+09   23             
0.006298       -1.54091e+09   15             
0.006169       -1.54091e+09   16             
0.007496       -1.54091e+09   17             
0.007669       -1.54091e+09   18             
0.007843       -1.54091e+09   19             
0.008082       -1.54091e+09   20             
0.008245       -1.54091e+09   21             
0.005035       -1.54091e+09   12             
0.005793       -1.54091e+09   13             
0.005989       -1.54091e+09   14             
0.006185       -1.54091e+09   15             
0.005841       -1.54091e+09   15             
0.003275       -1.54091e+09   8              
0.003449       -1.54091e+09   9              
0.004211       -1.54091e+09   10             
0.004408       -1.54091e+09   11             
0.000607       -1.54091e+09   3              
0.001248       -1.54091e+09   1              
