TaskQLat.      PRRQLat.       TaksQlen       
4e-06          1e-06          1              
3.4e-05        1e-06          1              
0.019922       0              1              
0.011255       0              1              
0.015939       0              1              
3e-06          0              1              
0.023927       0              1              
0.02264        0              1              
3e-06          0              1              
0.002677       0              1              
0.011907       0              1              
0.023932       0              1              
0.003933       0              1              
0.011925       0              1              
0.00771        0              1              
0.031919       0              1              
0.015992       0              1              
0.030616       0              1              
5e-06          0              1              
0.027931       0              1              
0.007442       1e-06          1              
0.012461       0              1              
0.002655       0              1              
5e-06          0              1              
0.015946       0              1              
4e-06          0              1              
0.007934       0              1              
0.007886       0              1              
0.003057       0              1              
0.015929       0              1              
0.015934       0              1              
0.003933       0              1              
0.023918       0              1              
3e-06          0              1              
0.019957       0              1              
3e-06          0              1              
0.019935       0              1              
0.027926       0              1              
0.007934       0              1              
0.007981       0              1              
0.027932       0              1              
0.027928       0              1              
0.023248       0              1              
0.01194        0              1              
0.031921       0              1              
0.007923       0              1              
0.019942       0              1              
0.022662       0              1              
4e-06          0              1              
0.007943       0              1              
0.011935       0              1              
0.006665       0              1              
4e-06          0              1              
0.007243       0              1              
4e-06          0              1              
0.00668        1e-06          1              
0.023268       0              1              
0.0071         0              1              
5e-06          0              1              
5e-06          0              1              
5e-06          0              1              
0.005388       0              1              
0.006791       0              1              
0.003693       0              1              
4e-06          0              1              
5e-06          0              1              
6e-06          0              1              
5e-06          0              1              
0.003992       0              1              
0.007934       0              1              
5e-06          0              1              
0.007363       0              1              
0.000253       1e-06          1              
5e-06          0              1              
0.00353        0              1              
0.015919       0              1              
4e-06          0              1              
4e-06          0              1              
0.001693       0              1              
4e-06          0              1              
5e-06          0              1              
5e-06          0              1              
5e-06          0              1              
4e-06          0              1              
0.014567       0              1              
3e-06          0              1              
3e-06          0              1              
4e-06          0              1              
4e-06          1e-06          1              
4e-06          0              1              
4e-06          0              1              
4e-06          0              1              
3e-06          0              1              
3e-06          0              1              
3e-06          0              1              
3e-06          0              1              
3e-06          0              1              
3e-06          0              1              
3e-06          0              1              
3e-06          0              1              
8e-06          0              1              
