Avg.WorkLoad   NumPRRs        
-nan           1              
-10.0004       1              
-50.0018       1              
-100.004       1              
-150.005       1              
-200.007       1              
-250.009       1              
-300.011       1              
-350.013       1              
-400.015       1              
-450.016       1              
-500.018       1              
-550.02        1              
-600.022       1              
-650.024       1              
-700.026       1              
-750.027       1              
-800.029       1              
-850.031       1              
-900.033       1              
-950.035       1              
