TotQLat.       ScalerLat      getDevLat      getPrgLat      Req.Type       
0.000361       0.000312       3.6e-05        0              0              
1.8e-05        0              0              1.4e-05        1              
6.4e-05        0              5.1e-05        0              0              
2e-05          0              1.8e-05        0              0              
3.2e-05        0              2.9e-05        0              0              
3e-06          0              0              1e-06          1              
1.9e-05        0              1.7e-05        0              0              
9e-05          6.7e-05        2e-05          0              0              
2.1e-05        0              1.9e-05        0              0              
2e-05          0              1.8e-05        0              0              
2e-05          0              1.8e-05        0              0              
2.1e-05        0              1.9e-05        0              0              
7.1e-05        5.2e-05        1.8e-05        0              0              
2.2e-05        0              2e-05          0              0              
2e-05          0              1.9e-05        0              0              
0.000139       0              0.00013        0              0              
0.000119       1e-06          0.000115       0              0              
0.001892       0.00177        0.000118       0              0              
0.000122       0              0.000118       0              0              
0.000122       0              0.000117       0              0              
0.000121       0              0.000117       0              0              
0.000122       0              0.000117       0              0              
0.001877       0.001755       0.000118       0              0              
0.000122       0              0.000118       0              0              
0.000122       0              0.000117       0              0              
0.000121       0              0.000117       0              0              
0.000122       0              0.000118       0              0              
0.000849       0.000736       0.000108       0              0              
0.0001         0              9.6e-05        0              0              
0.000112       1e-06          0.000108       0              0              
0.0001         0              9.5e-05        0              0              
0.000102       0              9.7e-05        0              0              
0.000706       0.000607       9.5e-05        0              0              
0.000102       0              9.8e-05        0              0              
0.000112       0              0.000108       0              0              
0.00012        0              0.000116       0              0              
0.000119       0              0.000116       0              0              
0.000789       0.000689       9.6e-05        0              0              
9.9e-05        0              9.5e-05        0              0              
9.9e-05        0              9.5e-05        0              0              
9.9e-05        0              9.6e-05        0              0              
0.000119       0              0.000116       0              0              
0.001355       0.001242       0.000109       0              0              
9.9e-05        0              9.5e-05        0              0              
0.000118       0              0.000115       0              0              
0.000119       0              0.000115       0              0              
0.000119       0              0.000115       0              0              
0.001304       0.001204       9.6e-05        0              0              
9.9e-05        0              9.5e-05        0              0              
0.000119       0              0.000115       0              0              
0.000112       0              0.000109       0              0              
9.9e-05        0              9.5e-05        0              0              
0.000719       0.00061        0.000106       0              0              
0.000113       0              0.000109       0              0              
9.9e-05        0              9.6e-05        0              0              
0.000119       0              0.000116       0              0              
0.000118       0              0.000115       0              0              
0.000832       0.00072        0.000108       0              0              
0.0001         1e-06          9.6e-05        0              0              
0.000101       0              9.6e-05        0              0              
9.9e-05        0              9.5e-05        0              0              
0.000111       0              0.000107       0              0              
0.000768       0.000649       0.000115       0              0              
0.00012        0              0.000114       0              0              
0.000119       0              0.000115       0              0              
0.000121       0              0.000117       0              0              
0.000121       0              0.000117       0              0              
0.000728       0.000629       9.6e-05        0              0              
9.9e-05        0              9.5e-05        0              0              
9.8e-05        0              9.5e-05        0              0              
0.000679       0              0.000676       0              0              
0.00012        0              0.000116       0              0              
0.000697       0.000598       9.5e-05        0              0              
0.000109       1e-06          0.000106       0              0              
0.000119       0              0.000115       0              0              
0.000118       0              0.000115       0              0              
0.000118       0              0.000115       0              0              
0.000841       0.00074        9.6e-05        0              0              
0.0001         1e-06          9.6e-05        0              0              
9.8e-05        0              9.5e-05        0              0              
0.000119       1e-06          0.000115       0              0              
0.000119       0              0.000115       0              0              
0.001304       0.001206       9.5e-05        0              0              
9.9e-05        0              9.5e-05        0              0              
9.8e-05        0              9.5e-05        0              0              
9.9e-05        0              9.5e-05        0              0              
9.8e-05        0              9.4e-05        0              0              
0.001251       0.001152       9.5e-05        0              0              
9.9e-05        0              9.5e-05        0              0              
9.9e-05        0              9.5e-05        0              0              
0.0001         0              9.5e-05        0              0              
9.8e-05        0              9.5e-05        0              0              
0.001273       0.000597       0.000672       0              0              
0.00012        0              0.000116       0              0              
0.000119       0              0.000115       0              0              
0.000119       0              0.000115       0              0              
0.000119       0              0.000115       0              0              
0.000789       0.00069        9.5e-05        0              0              
0.000683       0              0.000679       0              0              
0.000119       0              0.000116       0              0              
0.000119       0              0.000115       0              0              
0.000118       1e-06          0.000115       0              0              
0.001364       0.001244       0.000116       0              0              
5e-06          0              0              1e-06          1              
4e-06          0              0              1e-06          1              
4e-06          0              0              1e-06          1              
4e-06          0              0              2e-06          1              
4e-06          0              0              1e-06          1              
4e-06          0              0              1e-06          1              
5e-06          0              0              2e-06          1              
1e-05          0              0              1e-06          1              
6e-06          0              0              1e-06          1              
4e-06          0              0              1e-06          1              
3e-06          0              0              1e-06          1              
6e-06          0              0              1e-06          1              
5e-06          0              0              1e-06          1              
4e-06          0              0              1e-06          1              
3e-06          0              0              1e-06          1              
6e-06          0              0              2e-06          1              
6e-06          0              0              1e-06          1              
6e-06          0              0              1e-06          1              
5e-06          0              0              2e-06          1              
5e-06          0              0              1e-06          1              
4e-06          0              0              1e-06          1              
6e-06          0              0              2e-06          1              
6e-06          0              0              1e-06          1              
6e-06          0              0              1e-06          1              
5e-06          0              0              1e-06          1              
5e-06          0              0              1e-06          1              
5e-06          0              0              1e-06          1              
1.2e-05        1e-06          0              2e-06          1              
5e-06          0              0              1e-06          1              
5e-06          0              0              1e-06          1              
3e-06          0              0              1e-06          1              
5e-06          0              0              2e-06          1              
4e-06          0              0              1e-06          1              
4e-06          0              0              1e-06          1              
3e-06          0              0              1e-06          1              
4e-06          0              0              1e-06          1              
5e-06          0              0              1e-06          1              
7e-06          1e-06          0              2e-06          1              
5e-06          0              0              1e-06          1              
4e-06          0              0              1e-06          1              
4e-06          0              0              1e-06          1              
4e-06          0              0              1e-06          1              
6e-06          0              0              2e-06          1              
4e-06          0              0              1e-06          1              
5e-06          0              0              1e-06          1              
5e-06          0              0              1e-06          1              
6e-06          0              0              1e-06          1              
2e-06          0              0              1e-06          1              
5e-06          0              0              1e-06          1              
7e-06          0              0              2e-06          1              
6e-06          0              0              2e-06          1              
7e-06          0              0              2e-06          1              
5e-06          0              0              1e-06          1              
7e-06          0              0              2e-06          1              
6e-06          0              0              1e-06          1              
3e-06          0              0              1e-06          1              
6e-06          1e-06          0              2e-06          1              
6e-06          0              0              1e-06          1              
5e-06          0              0              1e-06          1              
5e-06          0              0              1e-06          1              
5e-06          0              0              1e-06          1              
6e-06          0              0              1e-06          1              
6e-06          0              0              2e-06          1              
6e-06          0              0              1e-06          1              
6e-06          0              0              1e-06          1              
6e-06          0              0              1e-06          1              
5e-06          0              0              1e-06          1              
6e-06          0              0              2e-06          1              
6e-06          0              0              1e-06          1              
6e-06          0              0              1e-06          1              
